file,status,method,n
unsorted__v1_327243764060_0.png,ok,hough,1
unsorted__v1_327244682734_0.png,ok,hough,1
unsorted__v1_335708917535_0.jpg,"rejected (rim 0.54, fill 0.97)",hough,0
unsorted__v1_354948346568_0.png,ok,hough,1
unsorted__v1_355482450757_0.png,ok,threshold,1
unsorted__v1_355482464377_0.png,ok,threshold,1
unsorted__v1_355482476219_0.png,ok,threshold,1
unsorted__v1_355482478627_0.png,ok,threshold,1
unsorted__v1_355482509446_0.png,ok,threshold,1
unsorted__v1_355860763279_0.png,ok,hough,1
unsorted__v1_355860790940_0.jpg,"rejected (rim 0.81, fill 0.82)",hough,0
unsorted__v1_355976872655_0.png,ok,threshold,1
unsorted__v1_355976879441_0.png,ok,threshold,1
unsorted__v1_355976891726_0.png,ok,threshold,1
unsorted__v1_355976894553_0.png,ok,threshold,1
unsorted__v1_355976898285_0.png,ok,threshold,1
unsorted__v1_355976905172_0.png,ok,hough,1
unsorted__v1_355976910145_0.png,ok,threshold,1
unsorted__v1_356060007012_0.png,ok,threshold,1
unsorted__v1_358147035696_0.png,ok,hough,1
unsorted__v1_358147047848_0.png,ok,hough,1
unsorted__v1_358165234937_0.png,ok,threshold,1
unsorted__v1_376733025037_0.jpg,"rejected (rim 0.66, fill 0.76)",hough,0
unsorted__v1_376879089936_0.png,ok,hough,1
unsorted__v1_377290215956_0.png,ok,hough,1
unsorted__v1_385863256325_0.jpg,"rejected (rim 0.64, fill 1.00)",hough,0
unsorted__v1_387860557119_0.jpg,"rejected (rim 0.64, fill 0.87)",hough,0
unsorted__v1_389529855378_0.png,ok,threshold,1
unsorted__v1_389711481637_0.png,ok,threshold,1
unsorted__v1_389945537540_0.png,ok,threshold,1
unsorted__v1_389945548262_0.png,ok,threshold,1
unsorted__v1_394434344879_663321216249.png,ok,hough,1
unsorted__v1_396018358838_0.png,ok,threshold,1
unsorted__v1_404934200463_0.png,ok,threshold,1
unsorted__v1_405371726353_0.png,ok,hough,1
wrong_planchet__v1_267653230541_0.png,ok,hough,1
