file,status,method,n
error_de__v1_254944025208_0_b.png,ok,hough,2
error_de__v1_254945733611_0_a.png,ok,hough,2
error_de__v1_254945733611_0_b.png,ok,hough,2
error_de__v1_254945740028_0_a.png,ok,hough,2
error_de__v1_254945740028_0_b.png,ok,hough,2
error_de__v1_254945751517_0.jpg,"rejected (rim 0.72, fill 0.51)",hough,0
error_de__v1_254945755289_0.jpg,"rejected (rim 0.82, fill 0.57)",hough,0
error_de__v1_254945760999_0.jpg,"rejected (rim 0.79, fill 0.51)",hough,0
error_de__v1_254945767671_0.jpg,"rejected (rim 0.94, fill 0.65)",hough,0
error_de__v1_254945772127_0.jpg,"rejected (rim 0.83, fill 0.54)",hough,0
error_de__v1_254945776776_0.jpg,"rejected (rim 0.85, fill 0.65)",hough,0
error_de__v1_255143558305_0.jpg,"rejected (rim 0.97, fill 0.46)",hough,0
error_de__v1_255206538183_0.jpg,"rejected (rim 1.00, fill 0.06)",hough,0
error_de__v1_255458817466_0_a.png,ok,hough,2
error_de__v1_255458817466_0_b.png,ok,hough,2
error_de__v1_255462304353_0.png,ok,hough,1
error_de__v1_255762946190_0.jpg,"rejected (rim 1.00, fill 0.63)",hough,0
error_de__v1_255774685803_0.jpg,"rejected (rim 0.56, fill 0.86)",hough,0
error_de__v1_255775585980_0_a.png,ok,hough,2
error_de__v1_255775585980_0_b.png,ok,hough,2
error_de__v1_255798484253_0_a.png,ok,hough,2
error_de__v1_255798484253_0_b.png,ok,hough,2
error_de__v1_255798496198_0.png,ok,threshold,1
error_de__v1_255799197787_0.png,ok,hough,1
error_de__v1_255799211294_0_a.png,ok,hough,2
error_de__v1_255799211294_0_b.png,ok,hough,2
error_de__v1_255799215172_0_a.png,ok,hough,2
error_de__v1_255799215172_0_b.png,ok,hough,2
error_de__v1_255799234876_0_a.png,ok,hough,2
error_de__v1_255799234876_0_b.png,ok,hough,2
error_de__v1_255806598385_0.png,ok,hough,1
error_de__v1_255806607927_0_a.png,ok,hough,2
error_de__v1_255806607927_0_b.png,ok,hough,2
error_de__v1_255806623333_0_a.png,ok,hough,2
error_de__v1_255806623333_0_b.png,ok,hough,2
error_de__v1_255808940248_0_a.png,ok,hough,2
error_de__v1_255808940248_0_b.png,ok,hough,2
error_de__v1_255842198470_0_a.png,ok,hough,2
error_de__v1_255842198470_0_b.png,ok,hough,2
error_de__v1_255842307548_0_a.png,ok,hough,2
error_de__v1_255842307548_0_b.png,ok,hough,2
error_de__v1_256104235953_0.jpg,"rejected (rim 1.00, fill 0.62)",hough,0
error_de__v1_256104239390_0.jpg,"rejected (rim 0.60, fill 0.38)",threshold,0
error_de__v1_256140935859_0.jpg,"rejected (rim 0.31, fill 0.32)",hough,0
error_de__v1_256149280553_0.png,ok,threshold,1
error_de__v1_256195287375_0_a.png,ok,hough,2
error_de__v1_256195287375_0_b.png,ok,hough,2
error_de__v1_256201009862_0.jpg,"rejected (rim 0.58, fill 1.00)",hough,0
error_de__v1_256201015175_0.png,ok,threshold,1
error_de__v1_256201019959_0.png,ok,threshold,1
error_de__v1_256201061720_0.png,ok,threshold,1
error_de__v1_256202593606_0.png,ok,threshold,1
error_de__v1_256202601934_0.jpg,"rejected (rim 1.00, fill 0.74)",hough,0
error_de__v1_256202620853_0_a.png,ok,hough,2
error_de__v1_256202620853_0_b.png,ok,hough,2
error_de__v1_256204500456_0_a.png,ok,hough,2
error_de__v1_256204500456_0_b.png,ok,hough,2
error_de__v1_256204502982_0_a.png,ok,hough,2
error_de__v1_256204502982_0_b.png,ok,hough,2
error_de__v1_256209993964_0.png,ok,threshold,1
error_de__v1_256219734281_0_a.png,ok,hough,2
error_de__v1_256219734281_0_b.png,ok,hough,2
error_de__v1_256227146354_0.png,ok,threshold,1
error_de__v1_256227155101_0.png,ok,threshold,1
error_de__v1_256228290713_0_a.png,ok,hough,2
error_de__v1_256228290713_0_b.png,ok,hough,2
error_de__v1_256255678092_0_a.png,ok,hough,2
error_de__v1_256255678092_0_b.png,ok,hough,2
error_de__v1_256258360521_0_a.png,ok,hough,2
error_de__v1_256258360521_0_b.png,ok,hough,2
error_de__v1_256295529465_0.jpg,"rejected (rim 0.56, fill 0.88)",hough,0
error_de__v1_256365967114_0.png,ok,hough,1
error_de__v1_256389060473_0_a.png,ok,hough,2
error_de__v1_256389060473_0_b.png,ok,hough,2
error_de__v1_256389850750_0.jpg,"rejected (rim 0.79, fill 0.56)",threshold,0
error_de__v1_256389864254_0.jpg,"rejected (rim 0.83, fill 0.52)",threshold,0
error_de__v1_256412535953_0_a.png,ok,hough,2
error_de__v1_256412535953_0_b.png,ok,hough,2
error_de__v1_256422137270_0_a.png,ok,hough,2
error_de__v1_256422137270_0_b.png,ok,hough,2
error_de__v1_256422140625_0_a.png,ok,hough,2
error_de__v1_256422140625_0_b.png,ok,hough,2
error_de__v1_256422149894_0_a.png,ok,hough,2
error_de__v1_256422149894_0_b.png,ok,hough,2
error_de__v1_256422152558_0_a.png,ok,hough,2
error_de__v1_256422152558_0_b.png,ok,hough,2
error_de__v1_256427863153_0_a.png,ok,hough,2
error_de__v1_256427863153_0_b.png,ok,hough,2
error_de__v1_256511655365_0_a.png,ok,threshold,2
